href,"anchor_text",type,location
#,"How it works",internal,hero
/gear.html,"See Gear Suggestions",internal,plan-your-stock
https://thetankguide.com/gear/,"Gear Guide",internal,post-results-explainer
https://thetankguide.com/params.html,"Cycling Coach",internal,post-results-explainer
https://thetankguide.com/feature-your-tank.html,"Submit your tank",internal,post-results-explainer
https://thetankguide.com/pages/community-video-picks.html,"see featured tanks from the community",internal,post-results-explainer
